,sub,Accuracy,Time [ms]
0,0.0,0.47058823529411764,100.0
1,0.0,0.6470588235294118,200.0
2,0.0,0.5882352941176471,300.0
3,0.0,0.5686274509803921,400.0
4,0.0,0.6666666666666666,500.0
5,0.0,0.5490196078431373,600.0
6,0.0,0.6470588235294118,700.0
7,0.0,0.5882352941176471,800.0
8,0.0,0.5686274509803921,900.0
9,0.0,0.6274509803921569,1000.0
10,0.0,0.5490196078431373,1100.0
11,0.0,0.5882352941176471,1200.0
12,0.0,0.5882352941176471,1300.0
13,0.0,0.5098039215686274,1400.0
14,0.0,0.5490196078431373,1500.0
15,0.0,0.5490196078431373,1600.0
16,0.0,0.5098039215686274,1700.0
17,0.0,0.47058823529411764,1800.0
18,0.0,0.49019607843137253,1900.0
19,0.0,0.49019607843137253,2000.0
20,0.0,0.43137254901960786,2100.0
21,0.0,0.49019607843137253,2200.0
22,0.0,0.49019607843137253,2300.0
23,0.0,0.47058823529411764,2400.0
24,0.0,0.5098039215686274,2500.0
25,0.0,0.5098039215686274,2600.0
26,0.0,0.5098039215686274,2700.0
27,0.0,0.49019607843137253,2800.0
28,0.0,0.5294117647058824,2900.0
29,0.0,0.49019607843137253,3000.0
30,0.0,0.43137254901960786,3100.0
31,0.0,0.5098039215686274,3200.0
32,0.0,0.5098039215686274,3300.0
33,0.0,0.5490196078431373,3400.0
34,0.0,0.5882352941176471,3500.0
35,1.0,0.53125,100.0
36,1.0,0.65625,200.0
37,1.0,0.71875,300.0
38,1.0,0.71875,400.0
39,1.0,0.6875,500.0
40,1.0,0.6875,600.0
41,1.0,0.75,700.0
42,1.0,0.78125,800.0
43,1.0,0.8125,900.0
44,1.0,0.8125,1000.0
45,1.0,0.8125,1100.0
46,1.0,0.84375,1200.0
47,1.0,0.875,1300.0
48,1.0,0.90625,1400.0
49,1.0,0.84375,1500.0
50,1.0,0.78125,1600.0
51,1.0,0.71875,1700.0
52,1.0,0.71875,1800.0
53,1.0,0.6875,1900.0
54,1.0,0.71875,2000.0
55,1.0,0.6875,2100.0
56,1.0,0.65625,2200.0
57,1.0,0.625,2300.0
58,1.0,0.53125,2400.0
59,1.0,0.53125,2500.0
60,1.0,0.46875,2600.0
61,1.0,0.46875,2700.0
62,1.0,0.5,2800.0
63,1.0,0.4375,2900.0
64,1.0,0.4375,3000.0
65,1.0,0.46875,3100.0
66,1.0,0.40625,3200.0
67,1.0,0.34375,3300.0
68,1.0,0.375,3400.0
69,1.0,0.40625,3500.0
70,2.0,0.6071428571428571,100.0
71,2.0,0.5357142857142857,200.0
72,2.0,0.5357142857142857,300.0
73,2.0,0.5,400.0
74,2.0,0.6785714285714286,500.0
75,2.0,0.5714285714285714,600.0
76,2.0,0.5357142857142857,700.0
77,2.0,0.5,800.0
78,2.0,0.5,900.0
79,2.0,0.5,1000.0
80,2.0,0.5357142857142857,1100.0
81,2.0,0.5357142857142857,1200.0
82,2.0,0.5,1300.0
83,2.0,0.5357142857142857,1400.0
84,2.0,0.4642857142857143,1500.0
85,2.0,0.39285714285714285,1600.0
86,2.0,0.32142857142857145,1700.0
87,2.0,0.39285714285714285,1800.0
88,2.0,0.32142857142857145,1900.0
89,2.0,0.4642857142857143,2000.0
90,2.0,0.42857142857142855,2100.0
91,2.0,0.5357142857142857,2200.0
92,2.0,0.5357142857142857,2300.0
93,2.0,0.6071428571428571,2400.0
94,2.0,0.5357142857142857,2500.0
95,2.0,0.5,2600.0
96,2.0,0.5,2700.0
97,2.0,0.5714285714285714,2800.0
98,2.0,0.5,2900.0
99,2.0,0.5357142857142857,3000.0
100,2.0,0.5714285714285714,3100.0
101,2.0,0.5,3200.0
102,2.0,0.7142857142857143,3300.0
103,2.0,0.6785714285714286,3400.0
104,2.0,0.6071428571428571,3500.0
105,3.0,0.38333333333333336,100.0
106,3.0,0.6666666666666666,200.0
107,3.0,0.6,300.0
108,3.0,0.6,400.0
109,3.0,0.5666666666666667,500.0
110,3.0,0.65,600.0
111,3.0,0.6166666666666667,700.0
112,3.0,0.5666666666666667,800.0
113,3.0,0.6666666666666666,900.0
114,3.0,0.5833333333333334,1000.0
115,3.0,0.5666666666666667,1100.0
116,3.0,0.5166666666666667,1200.0
117,3.0,0.5333333333333333,1300.0
118,3.0,0.5166666666666667,1400.0
119,3.0,0.5166666666666667,1500.0
120,3.0,0.5833333333333334,1600.0
121,3.0,0.5166666666666667,1700.0
122,3.0,0.5333333333333333,1800.0
123,3.0,0.5333333333333333,1900.0
124,3.0,0.5166666666666667,2000.0
125,3.0,0.45,2100.0
126,3.0,0.5,2200.0
127,3.0,0.45,2300.0
128,3.0,0.4666666666666667,2400.0
129,3.0,0.48333333333333334,2500.0
130,3.0,0.48333333333333334,2600.0
131,3.0,0.5166666666666667,2700.0
132,3.0,0.5333333333333333,2800.0
133,3.0,0.5333333333333333,2900.0
134,3.0,0.5,3000.0
135,3.0,0.5166666666666667,3100.0
136,3.0,0.5166666666666667,3200.0
137,3.0,0.5666666666666667,3300.0
138,3.0,0.5833333333333334,3400.0
139,3.0,0.6333333333333333,3500.0
140,4.0,0.4117647058823529,100.0
141,4.0,0.7058823529411765,200.0
142,4.0,0.7941176470588235,300.0
143,4.0,0.8529411764705882,400.0
144,4.0,0.7647058823529411,500.0
145,4.0,0.7941176470588235,600.0
146,4.0,0.8529411764705882,700.0
147,4.0,0.8823529411764706,800.0
148,4.0,0.8529411764705882,900.0
149,4.0,0.6764705882352942,1000.0
150,4.0,0.7058823529411765,1100.0
151,4.0,0.6764705882352942,1200.0
152,4.0,0.6470588235294118,1300.0
153,4.0,0.6470588235294118,1400.0
154,4.0,0.5882352941176471,1500.0
155,4.0,0.5588235294117647,1600.0
156,4.0,0.5294117647058824,1700.0
157,4.0,0.4411764705882353,1800.0
158,4.0,0.47058823529411764,1900.0
159,4.0,0.35294117647058826,2000.0
160,4.0,0.35294117647058826,2100.0
161,4.0,0.3235294117647059,2200.0
162,4.0,0.23529411764705882,2300.0
163,4.0,0.29411764705882354,2400.0
164,4.0,0.35294117647058826,2500.0
165,4.0,0.3235294117647059,2600.0
166,4.0,0.35294117647058826,2700.0
167,4.0,0.35294117647058826,2800.0
168,4.0,0.38235294117647056,2900.0
169,4.0,0.4117647058823529,3000.0
170,4.0,0.38235294117647056,3100.0
171,4.0,0.38235294117647056,3200.0
172,4.0,0.38235294117647056,3300.0
173,4.0,0.5294117647058824,3400.0
174,4.0,0.4411764705882353,3500.0
175,5.0,0.54,100.0
176,5.0,0.74,200.0
177,5.0,0.78,300.0
178,5.0,0.8,400.0
179,5.0,0.8,500.0
180,5.0,0.8,600.0
181,5.0,0.78,700.0
182,5.0,0.8,800.0
183,5.0,0.8,900.0
184,5.0,0.78,1000.0
185,5.0,0.8,1100.0
186,5.0,0.76,1200.0
187,5.0,0.78,1300.0
188,5.0,0.76,1400.0
189,5.0,0.72,1500.0
190,5.0,0.56,1600.0
191,5.0,0.54,1700.0
192,5.0,0.52,1800.0
193,5.0,0.56,1900.0
194,5.0,0.56,2000.0
195,5.0,0.56,2100.0
196,5.0,0.54,2200.0
197,5.0,0.56,2300.0
198,5.0,0.52,2400.0
199,5.0,0.54,2500.0
200,5.0,0.56,2600.0
201,5.0,0.62,2700.0
202,5.0,0.58,2800.0
203,5.0,0.6,2900.0
204,5.0,0.58,3000.0
205,5.0,0.54,3100.0
206,5.0,0.5,3200.0
207,5.0,0.5,3300.0
208,5.0,0.46,3400.0
209,5.0,0.44,3500.0
210,6.0,0.5227272727272727,100.0
211,6.0,0.6590909090909091,200.0
212,6.0,0.6590909090909091,300.0
213,6.0,0.6363636363636364,400.0
214,6.0,0.6590909090909091,500.0
215,6.0,0.5909090909090909,600.0
216,6.0,0.5681818181818182,700.0
217,6.0,0.5681818181818182,800.0
218,6.0,0.5454545454545454,900.0
219,6.0,0.5681818181818182,1000.0
220,6.0,0.5909090909090909,1100.0
221,6.0,0.5227272727272727,1200.0
222,6.0,0.5681818181818182,1300.0
223,6.0,0.5,1400.0
224,6.0,0.5909090909090909,1500.0
225,6.0,0.5227272727272727,1600.0
226,6.0,0.5681818181818182,1700.0
227,6.0,0.5681818181818182,1800.0
228,6.0,0.6136363636363636,1900.0
229,6.0,0.5681818181818182,2000.0
230,6.0,0.5,2100.0
231,6.0,0.5454545454545454,2200.0
232,6.0,0.5227272727272727,2300.0
233,6.0,0.5681818181818182,2400.0
234,6.0,0.5454545454545454,2500.0
235,6.0,0.5454545454545454,2600.0
236,6.0,0.5454545454545454,2700.0
237,6.0,0.5227272727272727,2800.0
238,6.0,0.4772727272727273,2900.0
239,6.0,0.5454545454545454,3000.0
240,6.0,0.5681818181818182,3100.0
241,6.0,0.5454545454545454,3200.0
242,6.0,0.5681818181818182,3300.0
243,6.0,0.4772727272727273,3400.0
244,6.0,0.4772727272727273,3500.0
245,7.0,0.4583333333333333,100.0
246,7.0,0.5416666666666666,200.0
247,7.0,0.5625,300.0
248,7.0,0.5416666666666666,400.0
249,7.0,0.625,500.0
250,7.0,0.6041666666666666,600.0
251,7.0,0.5416666666666666,700.0
252,7.0,0.625,800.0
253,7.0,0.5208333333333334,900.0
254,7.0,0.5208333333333334,1000.0
255,7.0,0.5416666666666666,1100.0
256,7.0,0.5,1200.0
257,7.0,0.5625,1300.0
258,7.0,0.5,1400.0
259,7.0,0.4583333333333333,1500.0
260,7.0,0.4791666666666667,1600.0
261,7.0,0.5208333333333334,1700.0
262,7.0,0.4583333333333333,1800.0
263,7.0,0.5416666666666666,1900.0
264,7.0,0.4791666666666667,2000.0
265,7.0,0.5208333333333334,2100.0
266,7.0,0.4583333333333333,2200.0
267,7.0,0.4791666666666667,2300.0
268,7.0,0.4375,2400.0
269,7.0,0.5833333333333334,2500.0
270,7.0,0.5,2600.0
271,7.0,0.5208333333333334,2700.0
272,7.0,0.5,2800.0
273,7.0,0.4583333333333333,2900.0
274,7.0,0.5208333333333334,3000.0
275,7.0,0.5625,3100.0
276,7.0,0.5,3200.0
277,7.0,0.4791666666666667,3300.0
278,7.0,0.5208333333333334,3400.0
279,7.0,0.5625,3500.0
